word value_1 value_2 value_3 value_4 value_5 value_6 value_7 value_8 value_9 value_10 value_11 value_12 value_13 value_14 value_15 value_16 value_17 value_18 value_19 value_20 value_21 value_22 value_23 value_24 value_25 value_26 value_27 value_28 value_29 value_30 value_31 value_32 value_33 value_34 value_35 value_36 value_37 value_38 value_39 value_40 value_41 value_42 value_43 value_44 value_45 value_46 value_47 value_48 value_49 value_50
alice -1.402763 -0.322003 0.109129615 1.1018417 1.2435188 -1.4693164 0.70878494 -0.44504553 -0.866823 1.6079274 0.42904982 1.2973988 -1.3170475 0.10552522 -1.5462623 1.4018304 1.4164907 1.0219933 -0.2118762 -1.4862221 -0.096290536 -0.22752279 -0.7603667 1.0382123 -1.3754535 1.8513167 0.57700855 0.41054899 0.73501855 -0.7869188 -0.07578212 0.8347747 1.0744933 1.0167564 0.012989883 -1.094906 0.38936177 1.1702545 0.52925205 -0.8321318 -1.8605908 1.9343344 -0.95668715 1.3445281 0.85743356 1.333603 0.18176645 1.2004867 1.4514204 1.1067072
in 0.10817234 -0.19154902 0.5465143 -0.8120513 -0.838501 0.6019332 0.094877966 -1.1461848 0.72058374 -0.1261182 0.48616403 -0.76100904 -1.7463279 -0.4947234 -0.21608059 2.6664655 0.81402093 0.08544067 -1.0464836 0.48934934 -1.1140567 -1.9324249 -0.78850895 0.1525644 -1.2529994 -0.6094005 1.3339957 0.23829208 1.362875 2.1518395 -2.182507 -1.523933 -0.34000355 0.41100466 -0.75469714 -0.0005063959 1.2734132 -0.46990156 -1.2873601 0.028244507 0.10103312 0.065147705 -0.24010226 0.655335 -2.6339386 -0.87526613 -0.41858807 -2.955021 -1.6993214 -3.5858762
was -0.82139325 0.02689637 1.8479302 0.72921467 -0.5567085 0.042877138 1.0771465 -0.93172497 0.8759883 1.1814829 0.6647728 -0.6237032 1.4391468 -1.8999755 -0.61218697 -1.2456665 -0.74403715 -0.49959275 -0.29471087 -2.5338714 1.170225 -0.5348719 0.9307205 0.29880717 -0.49779493 -1.9367082 0.4324913 -1.2882383 -0.7366017 -0.9692966 0.5078578 -1.2137898 0.5843633 0.77593 1.3127517 0.60277545 -0.6517682 -1.4418228 0.6447068 -1.6248258 -1.9156317 -0.077442124 0.6664925 -1.6536056 -0.8530873 -1.6633632 -1.2349195 -0.6333728 1.2524917 -1.188645
that -0.9892062 -1.1482799 -0.8101478 0.64349836 1.3252174 0.56314766 0.68860424 0.41760612 -1.254884 1.7692398 0.37326992 -0.00064589526 -1.3786137 -0.20893663 0.24574791 0.0032957064 -1.7939715 1.8532413 -1.2295356 0.4950592 1.5477611 0.7302583 1.7088292 0.5260191 0.39050364 0.15072785 0.28280818 -1.0348097 0.41200686 -0.13289422 -0.5262307 0.25844684 0.65721667 0.339077 0.63704044 0.9882886 -0.8005041 0.17795047 0.7599264 0.82655257 0.12785068 0.4332274 0.8205441 -1.682741 0.5006411 0.699614 1.4023625 1.4794041 -0.9014577 1.5146619
as 0.6382744 -0.11134412 -0.93936086 1.1667211 1.1173531 1.2953707 -1.174243 -1.7241123 0.20594414 1.1060492 -1.370891 0.09859218 -1.498653 -0.08952825 0.29662332 -0.72309244 -1.925832 1.1090536 0.69772184 0.14809541 -0.295021 -1.3923448 -1.536656 1.631745 1.5252204 0.18278193 0.81109804 0.42117345 1.9863098 -0.12634994 -0.25593263 0.191822 0.17844671 1.2674656 2.459031 0.28941 -0.36430582 -0.28209904 -0.16063367 -0.59654886 0.38194975 0.8226892 -1.5365514 -0.50519174 -1.3642145 -1.2017554 -1.0588096 0.5616832 -0.61799574 -0.48960063
her 0.6261114 1.8521419 0.68105876 2.6167433 -0.11264066 1.5804739 0.93571603 1.3936954 1.6087484 -2.0353363 0.94742155 0.6173896 1.0554774 -0.29154608 1.4989356 -0.0067631747 0.42457926 1.4395627 -0.08020444 0.35487548 0.11900955 1.5987828 -0.696371 0.06783972 -0.94610274 1.970979 0.15338612 -0.24638617 0.6718807 -1.290232 -0.47775146 -0.1380403 1.6428909 0.05928384 1.3420193 -0.09795079 -0.042226315 0.41018313 -0.39360937 -0.40952495 -0.23110777 0.8252878 -2.0710416 -1.1628039 1.9896964 -0.738198 1.9033347 -2.6487765 -0.15795298 0.015162362
t -1.460959 -0.17552766 0.9837738 0.33157426 -2.2962506 0.4111445 -0.72605777 -0.39544982 -0.30835694 1.2488748 -1.82886 1.3097895 -0.12300543 -1.36988 1.95896 -1.4092995 -2.40564 -2.1046507 1.7896833 -2.429016 1.5857258 -0.48534963 1.0956804 -2.7299502 1.1677123 -0.35516894 -0.7074828 -2.347968 -0.84181184 -0.41204166 -0.32325816 1.2741305 0.9304652 -1.2292739 -1.1418697 1.2665972 -0.6735773 1.9373045 -1.6237025 0.4134726 1.9716517 0.5978715 -1.2231882 -1.5301687 0.58927184 0.66316026 0.07787987 1.3408585 -1.0256771 -3.474836
at 0.32857645 -0.49026388 0.6737015 -0.7656285 -1.3441701 1.5994345 -1.4682028 -0.4913214 -0.89544874 -0.29321802 1.1768209 0.79170525 -1.6908337 -0.026874501 0.053753532 0.44926566 2.39867 0.56945854 -1.5062268 -0.039261226 2.7277596 -2.8133056 2.2481449 0.47720012 -0.44997296 -0.32052356 1.0732559 0.18128853 0.4291423 -1.5318624 0.40602124 -0.63401943 1.3390739 0.51357555 0.20578462 0.6863858 0.47696167 -2.1672812 1.051072 -1.3341562 0.6889071 1.0211256 0.7739784 0.14180773 0.896139 -0.54408866 0.35180527 0.036027025 -0.71287876 -1.2082134
s -1.3562772 -0.32370588 1.0548322 0.21491443 -0.12633416 0.18791088 -0.39564922 -1.4042076 -0.13367493 0.86013573 0.22374533 -0.56230086 1.8338739 1.2978972 -0.4004215 -0.036822103 -0.7083275 0.80784374 -0.36406967 -2.6992798 -0.99860275 0.34418035 -0.096348226 0.9183306 -1.295977 -2.0886772 1.4362904 -0.8944885 1.2208602 0.2479291 -0.8105043 -0.12476097 2.5343344 0.1596699 0.73760563 -1.5672405 0.52076906 0.06384666 0.2542039 -1.4261522 -0.998713 -1.7400904 0.24064618 -2.4564161 -0.2812336 -0.84198016 0.08252242 -0.65267456 0.32587805 -1.4044611
on -0.30132353 1.6195571 -1.9001263 0.21598217 1.1758602 1.9140773 -0.6401142 -0.02364881 -0.12574877 -1.2258298 -0.6538694 -1.8901664 -0.2171724 -0.6868752 -0.9721718 -0.9960766 2.1636455 -0.582127 0.35772166 1.4143523 1.2838039 0.22604227 -1.4573888 -2.1973772 -0.08389118 -1.5297426 1.2400059 -0.422827 1.0382322 1.1530061 -1.2543564 0.6183728 -0.62453306 -0.265866 2.6734693 -0.45175096 -0.71062976 1.568806 0.23200993 -1.3112578 -0.81078035 -0.20757933 -1.4307972 -0.15994489 -1.7453178 -0.21767662 -2.1330554 -1.0523762 0.72197837 -0.7061516
