words value_1 value_2 value_3 value_4 value_5 value_6 value_7 value_8 value_9 value_10 value_11 value_12 value_13 value_14 value_15 value_16 value_17 value_18 value_19 value_20 value_21 value_22 value_23 value_24 value_25 value_26 value_27 value_28 value_29 value_30 value_31 value_32 value_33 value_34 value_35 value_36 value_37 value_38 value_39 value_40 value_41 value_42 value_43 value_44 value_45 value_46 value_47 value_48 value_49 value_50
let 0.6175974 0.6386619 -0.44737422 0.6063445 0.27405748 0.29945508 0.21417192 -0.12823212 0.6792805 0.36698523 -1.0282494 0.99120325 -0.28393397 -0.27660036 -0.24336934 0.28083894 0.07972285 0.23810588 0.0026133284 -0.12838195 -0.07631187 -0.1289926 0.3787241 0.12093225 0.55189663 0.5122851 0.1443657 0.05352121 0.43716714 0.028999582 -0.3118622 0.2602051 -0.5571821 -0.3581759 -0.3039776 0.22195087 -0.09608481 0.1114142 -0.051093172 0.3118645 0.10768157 -0.18229651 0.44659165 -0.23279025 0.20539844 -0.3094696 0.45148534 -0.48437947 -0.026487784 0.16199405
jury 0.023173159 0.23465149 -0.11888029 0.42828172 0.3912042 -0.025309302 -0.36601827 -0.1716864 -0.09863807 -0.123906754 -0.15587144 0.7939557 0.027051097 -0.5316586 -0.29259193 -0.25735888 0.09405677 -0.3582167 0.25533885 -0.4838348 -0.3862348 0.12728684 -0.08449369 -0.018031754 0.33504072 0.05223389 -0.41754466 -0.25812182 -0.3549742 -0.13282098 0.3918515 -0.18725519 -0.023438483 -0.0139137525 -0.22017072 0.10725134 -0.40170106 0.38922372 -0.16198635 -0.33578488 -0.2825469 0.4294737 0.14595924 0.011958613 0.51021105 -0.15534937 0.19107099 0.31761393 -0.048151616 -0.290729
take -0.088583864 0.27734852 0.0743187 0.43852854 0.40789577 -0.044473108 0.37115654 0.052734118 -0.003537588 0.25765395 -0.35568842 0.5477595 -0.4517978 -0.19908386 -0.46513236 0.20487668 -0.019782221 0.17456506 0.17828065 -0.31547105 0.15656897 -0.27433005 0.21531245 -0.013863062 0.32629675 0.05608725 0.058678497 0.08045264 0.5883624 -0.09022528 0.35771146 0.06626454 -0.53825426 0.6152797 0.36382645 0.18092577 -0.45848328 -0.2117834 -0.16948998 0.070513226 0.28380167 0.32753333 0.085694276 -0.3679329 -0.008687737 0.21002784 -0.0954621 -0.08267212 0.06579369 0.0563078
words 0.28379512 -0.21037112 -0.34754583 0.43846327 0.19054905 0.5198185 -0.11812588 -0.11618066 -0.03983605 0.33078533 -0.013346423 0.38555408 0.19323224 -0.05473877 -0.29755774 -0.19501752 0.14102924 -0.23002584 0.11010941 -0.19797167 0.2316909 0.06298022 -0.1316574 -0.046042252 0.111448616 -0.017992882 0.20263463 -0.18727395 -0.18675749 0.45903692 0.25888658 0.07929661 0.16159844 0.43591145 0.33856335 0.016828932 -0.05803668 0.013851601 -0.1460715 -0.3120546 0.12263723 0.22914459 0.5390992 0.35562485 0.49142104 -0.025828496 0.027445728 0.08264106 0.29453206 0.35982078
wish 0.9573158 0.39791164 -0.2963988 0.17455164 -0.07467469 0.5111277 -0.014543876 -0.104035266 -0.13958693 0.34761262 -0.35054263 -0.010091176 0.30190632 -0.8009007 -0.5228899 0.8991208 -0.11308847 -0.25616515 -0.22065069 -0.22411011 -0.071069926 -0.92763096 0.30419254 -0.16417827 -0.02400603 -0.5562043 -0.45365232 -0.57647514 0.12900479 -0.3985775 -0.113698415 0.5520968 -0.40196148 0.74160177 0.23662968 -0.07511587 0.22818011 0.061498675 -0.22858828 0.36616355 -0.14285395 0.058126613 0.65401936 -0.30954838 0.029392298 -0.28169274 -0.26555207 -0.25247025 0.33483833 -0.1466035
hand 0.11725037 0.3654084 -0.24487808 -0.46038213 0.35039204 -0.14102456 0.034903605 0.62855864 0.23843302 -0.38271576 -0.024713082 0.3777062 -0.24243699 0.30346677 0.0153177325 -0.9089448 0.13035291 -0.35665432 0.055432342 -0.095115475 0.09115834 0.1392067 -0.4188843 -0.06736702 0.61083925 0.39427584 -0.5672097 0.043865874 0.16848893 -0.0424938 0.09096478 -0.429916 -0.008948012 -0.09026153 0.3469168 0.3109979 0.21080099 0.1560666 -0.19436605 -0.15298222 -0.3999064 0.14450152 -0.1641138 0.12739219 0.100361526 -0.4482777 -0.059034728 -0.31370905 0.15860713 0.17746805
ever 0.5397345 -0.15669338 -0.14139 -0.14014964 -0.17805915 0.6292827 0.07044934 0.53253067 -0.1946923 0.30550754 -0.044901144 -0.22163875 0.16401346 -0.039780334 0.12334919 0.6404202 0.015776245 -0.12752257 -0.060989834 -0.22801472 0.3162183 -0.66098714 0.06789409 -0.29892924 -0.3096239 -0.40269935 -0.13407739 -0.39744723 0.540641 0.16405758 0.16219097 0.13266332 -0.12497161 0.6177429 -0.061497223 -0.050570007 -0.103106536 -0.09817721 -0.18381178 -0.20390141 0.2279331 0.13307546 0.4101341 0.22534561 0.23368506 0.047425438 -0.14285372 0.07633005 0.7669226 0.39842007
till 0.58098966 0.19527894 -0.022933252 -0.23810038 -0.22356474 -0.025475297 -0.28213736 0.44395915 0.47239214 0.28665516 -0.2842065 -0.5310904 0.19736364 -0.37462735 -0.05703102 -0.10965754 0.043004047 -0.32130143 0.39026514 -0.25733125 0.084519334 0.19712438 0.017237833 -0.27530265 0.074677296 -0.046712734 -0.24113575 -0.33939517 0.07542046 -0.13414928 -0.58502793 -0.21685144 -0.46202323 0.4575154 0.0010195373 0.091793306 0.2784465 -0.13813576 -0.39757162 -0.2053765 -0.27329323 0.28892106 -0.020284062 -0.21376121 -0.21633673 0.12288176 -0.032492388 -0.0032858786 -0.066805996 0.59394
anything 0.43324164 -0.115070365 -0.20485972 0.5592613 -0.16065401 0.19282065 0.1758708 -0.10689933 -0.1477488 0.03685704 -0.25340545 0.033420447 -0.3443066 -0.20747912 -0.12402753 0.85864097 -0.018653534 -0.47707397 0.10310898 0.049244884 0.2744623 -0.74168056 -0.08850906 -0.7623519 0.33532748 0.06796603 0.021986723 -0.36139357 0.356377 -0.119151294 0.50007963 -0.1464106 -0.13832355 0.3061857 -0.1637289 -0.08114286 -0.28902417 -0.035958376 -0.40989134 0.50402135 -0.05023539 -0.13206972 -0.036113165 0.25712907 -0.009932646 0.17718883 0.24690627 0.3299766 0.7470212 0.36591625
sort -0.0896573 0.09072543 0.07887516 0.1578105 0.53083426 0.19225636 0.18560226 0.29285237 -0.124689765 -0.12497679 0.10052061 0.2221106 -0.21654277 0.1651742 -0.09433032 -0.2749537 0.3180777 -0.24971585 0.6669098 0.42349917 0.054389168 0.20586771 0.06901322 -0.12358413 0.096981704 -0.5844104 0.43864584 0.7562781 0.8384413 0.024665887 0.6548772 -0.09058485 -0.06425634 0.10121518 0.017857965 0.12426074 -0.41096884 0.07080249 -0.38040307 -0.38385016 0.45200354 0.28663555 -0.1311214 0.5073394 0.21878666 0.19565013 0.5731539 -0.33795375 0.050486322 -0.1558935
however 0.15794869 0.29942277 0.068765596 0.10439913 0.1474523 0.47036126 -0.4347932 -0.2863458 0.4121109 -0.08217467 -0.14583436 -0.15809157 0.01560509 -0.23100531 -0.09640217 -0.5986017 0.33673185 -0.6880357 0.35834217 -0.51583 -0.068204045 0.05153498 0.07684423 -0.13126025 -0.14588816 -0.06612021 -0.34269765 -0.54416525 -0.1651205 -0.014541446 0.13289961 -0.11162988 -0.29903314 0.03289408 0.17604916 -0.58336145 -0.26529595 -0.19021963 -0.31755713 -0.047519296 -0.37339658 -0.13595381 0.11640959 -0.047306612 -0.13699585 0.083218634 0.49147183 0.027600596 -0.38123834 -0.011940054
find 0.13642825 0.35997766 -0.0012910366 0.18403427 0.09743807 0.09471332 0.25117928 0.56179804 0.29801777 -0.21442926 -0.2206869 0.25687167 -0.1096807 0.040056765 0.25137976 0.58732766 0.010306601 -0.13800412 0.24632336 -0.08018393 -0.039983377 -0.13239129 -0.16184199 -0.26378503 -0.11149865 0.1507011 -0.13600598 -0.002326334 0.49443072 0.26915804 0.014892364 -0.3082522 0.008296532 0.41379157 0.34936726 0.01737109 -0.09990205 -0.6118414 -0.38032892 0.27562875 0.08558654 -0.041075505 0.15700571 0.43296677 -0.22760326 -0.28876048 0.47851697 -0.27533385 0.38958555 -0.18192644
cried -0.004515924 0.368618 -0.485612 -0.23831536 -0.30452627 0.37055746 -0.00718496 -0.29085574 0.34178665 0.3652457 -0.44856304 -0.22902845 -0.31077683 -0.6772113 -0.73721606 -0.1801753 0.2240126 -0.031065224 -0.15706187 0.29621688 0.15253258 -0.031364784 -0.018371036 -0.13207242 0.24557947 -0.18851212 0.24499755 -0.0008836405 -0.04988575 -0.4551465 -0.39998487 -0.09765204 0.28792784 -0.033365697 0.021835634 0.13206522 -0.12801374 -0.4545635 0.2607744 -0.535434 -0.1890746 0.40777212 0.42321464 0.22510575 -0.11970751 -0.46697414 -0.19443811 -0.9070901 -0.42094865 0.31890762
minute -0.4213667 0.7636561 0.020490779 0.13022259 -0.74630326 0.07768431 0.1759012 -0.0035999499 -0.5753551 0.1305991 0.14399101 0.5472252 -0.16796525 0.15938976 0.21148741 -0.12523186 -0.044285823 -0.6629528 -0.04027975 0.2340017 0.32362863 0.45149443 -0.40042302 -0.9078485 -0.27070397 -0.43829325 -0.83374673 -0.44011605 0.2915829 -0.22902046 0.76447576 -0.46715754 0.4546272 0.79689544 -0.26950195 0.14982496 -0.27309543 -0.2970756 -0.5805298 -0.07539229 -0.036397163 0.3697528 0.08873491 -0.38311037 0.19340937 -0.474101 0.22446312 -0.006197105 0.043010212 0.48474038
feet -0.12654701 0.6490974 0.2510463 0.20206925 -0.07650349 -0.0066702454 -0.42020655 0.3824269 -0.07875928 0.21095586 0.1986772 0.011331713 -0.09583504 0.26957765 -0.3626518 0.092467174 0.24497709 -0.3547421 -0.14366543 0.20693746 0.021295996 -0.14185989 -0.545852 -0.35848257 0.1610772 0.2898909 -0.74166876 -1.0272065 -0.098886214 0.2324945 0.2979706 -0.7496717 0.29323164 0.20268732 -0.038994428 0.058334246 0.12914242 0.071954794 -0.46261424 -0.20087941 -0.27979547 0.54055065 0.8031693 -0.3327937 0.5378851 -0.20936498 0.07918003 -0.32469463 0.009081105 -0.33595362
tried 0.18464449 0.42175564 0.060293682 0.53744084 0.01334206 -0.28864685 -0.084355526 0.21430434 0.42117298 -0.08777403 0.0009551911 -0.32454047 0.54856914 -0.28662774 -0.3797268 0.39839274 0.6649287 -0.25130275 0.5432247 -0.32004824 -0.41916138 -0.40317467 -0.34838933 -0.42687625 -0.1871127 0.39246288 0.27661842 -0.059011802 0.41013607 -0.20522708 -0.37440893 -0.3275714 -0.0007856254 0.68461716 0.38427106 0.70912075 -0.09498885 -0.4729028 -0.57716787 0.10114005 -0.6283723 -0.3621001 0.14255396 0.09488101 -0.27867782 -0.24418546 0.23246163 0.13477406 0.025548536 -0.20456769
even 0.2967374 0.51518875 -0.23663244 0.32190832 0.15519592 0.3659829 -0.24700408 -0.14931451 0.40463603 0.03333828 -0.2155283 0.019312756 -0.3553066 0.045461915 -0.10725302 0.4516699 -0.010708642 0.0615435 0.32688084 0.22023761 0.4847188 -0.4089125 -0.2103329 -0.010595896 0.41221103 -0.13885014 -0.06309276 -0.41331562 0.10394354 0.15933539 -0.2523814 0.18020837 -0.08008449 0.33176702 0.26657155 0.26372772 -0.22243877 -0.1238927 0.030589702 0.52326906 -0.42374995 -0.13291173 0.22926407 -0.09888724 -0.21440072 -0.37419936 0.26356724 0.1357658 0.0414745 0.27262747
please -0.19898057 0.4131015 0.09959789 0.6648268 -0.15212093 0.1679849 -0.27228224 -0.1835242 0.2892994 0.5202481 -0.292694 0.6903803 0.25205114 -0.6605221 -0.64715016 0.58687973 0.23920259 0.70802224 -0.27330372 -0.1278235 0.55502856 0.054501977 0.09349663 -0.7063789 0.048912656 0.15188473 0.22579086 0.05833006 0.20995523 -0.5682414 0.07814079 0.37807196 -0.29818758 -0.25887957 0.5846256 0.21795948 -0.4325561 -0.89351606 0.6241467 0.27193642 0.37138125 -0.6852469 0.4231719 0.51717675 0.024013491 -0.9776564 -0.022159403 -0.6097359 -0.39066866 -0.16413517
tea -0.019067 0.34644088 0.10501392 0.1042157 0.121491924 0.11205968 -0.3778797 0.03654491 -0.047342047 -0.2177973 -0.03595586 0.4443972 -0.31772676 -0.21428189 -0.67220944 -0.14309122 0.3297235 -0.32399663 0.39568138 0.10181222 0.018788232 -0.1695857 0.13915545 -0.079458944 0.09092779 -0.17761312 -0.2985169 -0.01650399 -0.4302932 -0.22484182 0.26050618 -0.13887073 -0.5642407 0.3103654 0.047421657 0.3883831 0.06834638 0.22562946 0.19260131 -0.37400925 -0.022624634 0.5059385 0.37187782 -0.006721911 0.20143361 -0.0635968 -0.1971766 -0.40768132 -0.042608984 -0.116235785
curious -0.10707972 0.056128703 0.036765255 -0.21584867 0.041755337 0.27547097 -0.060053695 0.68318915 -0.2255155 0.6580119 -0.21662165 -0.010737833 -0.13375118 -0.23777123 0.3090439 0.71784955 0.17903052 -0.23578852 0.20747596 -0.18297033 0.27803355 -0.043549217 -0.1909151 -0.22311434 -0.3960704 -0.6018139 0.017400203 0.15200162 0.39568594 0.32915753 0.13166092 0.32785478 -0.6506991 -0.20702147 -0.11488051 0.12877524 -0.11467357 0.20462485 -0.0066447207 -0.68055576 0.2723655 0.044211682 0.102168955 0.7933314 0.3152443 -0.32910523 0.57175237 -0.09849349 -0.07270106 0.13351284
being -0.13584587 -0.10180566 -0.5931238 -0.1207821 -0.08486029 0.05446141 -0.2632977 0.039485894 0.009120851 -0.14634009 -0.12781043 -0.09174919 0.005662559 0.001056714 0.022330154 0.038819835 0.36710024 -0.032464813 0.19302267 -0.20691091 -0.15630627 -0.28608292 -0.12060322 -0.2946947 0.11369256 0.27128705 -0.11715822 -0.22641087 0.39909458 -0.0379713 0.84275144 -0.24024688 0.34969753 0.41789588 0.1969013 0.14519061 -0.31899613 0.02475446 -0.39445275 0.045415055 0.034551837 -0.041403368 -0.27369148 0.33700454 -0.03178329 0.10539225 0.24538615 -0.06337209 0.12020738 0.1539587
old 0.47654808 -0.13374612 -0.3475434 0.45118022 0.06637808 0.023396784 0.17766052 0.5826666 0.592754 0.4996191 0.51295024 0.27960026 0.19577675 0.028558834 -0.44704968 0.15339741 0.37184796 -0.0043698354 -0.8799231 0.30884433 0.31205064 0.122946054 -0.05269872 0.06851302 0.6305607 -0.5735869 0.074063845 0.17145383 -0.3238324 -0.61562717 0.40337583 -0.11025246 -0.103289925 -0.60215855 0.29744682 -0.12056577 -0.40074208 0.21618815 0.3272519 0.5187704 0.3417834 0.32772145 0.60700035 0.48872867 0.41390598 -0.31103632 -0.42392835 -0.7699771 -0.28769594 0.23449753
use 0.30283332 0.14807832 0.09917027 -0.1195015 0.4213615 0.24241574 -0.26009426 0.31986278 -0.4582673 0.36529487 -0.5726151 0.5461656 -0.5096972 0.38863456 -0.25373465 -0.19191875 0.35461172 -0.12374577 0.58659 -0.03703874 0.23619598 0.059254285 0.11526938 -0.6231249 0.15220276 -0.2747091 -0.53171575 0.40555277 0.62235075 0.47199407 0.34777135 -0.33343944 -0.16330062 -0.62705547 0.3441151 0.09151358 -0.044728044 0.3385419 -0.45208746 -0.24838442 0.22623904 0.26032138 -0.08959196 0.36087507 0.2997454 -0.16885282 0.3628059 0.060273692 -0.06845918 -0.3235636
wonder 0.201886 0.42195463 -0.051103227 0.05325486 -0.06161416 0.23457204 -0.58591706 -0.005365022 0.40351734 0.48119086 -0.6076393 0.089802824 0.29448536 -0.17782874 -0.2837078 0.56645846 0.19129524 0.048274837 0.4842699 -0.15720083 0.22601077 -0.67728496 -0.13598557 0.16364656 -0.23238286 0.1261389 0.21254793 -0.13593146 0.009879726 0.09494124 0.012316458 0.21539097 -0.0009737004 0.053869374 -0.13458237 0.34999683 -0.14593308 -0.0139661115 -0.6076371 0.13138534 0.18062137 0.10361585 0.4085945 0.19752078 -0.50464326 -0.3161849 0.568295 -0.597548 0.677686 0.26128188
house 0.31237003 -0.09672843 -0.15172286 0.10076482 0.03139682 0.20032807 -0.44692862 -0.017203014 0.007572065 0.54825544 0.16480868 -0.057524607 0.16689296 -0.14016782 -0.23516425 -0.5187126 -0.1071106 -0.2749172 0.1152481 -0.10224517 0.11313693 0.03621406 -0.14334224 0.034949142 0.16567603 -0.48762476 -0.5175594 -0.36956668 0.3059519 -0.0075519467 0.22841676 -0.16485971 -0.22995582 0.34638968 0.28036582 0.058066063 0.25393218 -0.31783652 -0.34552252 -0.4521777 -0.025396938 0.15209267 -0.0014231068 0.16206448 -0.28413925 -0.052010596 0.35342547 0.063050136 0.43787363 0.1466916
end 0.0357668 0.3620828 -0.27890843 0.6973867 0.36600778 -0.09229446 0.06982985 -0.14324902 0.13714235 -0.001998906 -0.11604036 0.06590538 -0.079438075 -0.25110587 -0.7725756 -0.2660582 0.25456664 -0.09917217 0.3690452 -0.3212145 0.18594901 0.14899273 -0.42172492 -0.36921886 0.29799742 -0.027809467 0.02729277 -0.26335636 -0.11433953 -0.12183291 0.40950748 0.09080112 -0.7489596 0.21530783 0.16665834 0.060591698 0.14203565 -0.1649848 -0.27350277 -0.15795834 -0.283913 0.41093522 0.35042247 -0.25855392 0.4716143 0.1435433 0.25079003 -0.23686402 0.31721178 -0.052256886
eat -0.1145462 -0.09402015 -0.08821195 0.10931275 -0.43698847 0.16614784 0.14620368 0.14232747 -0.2276735 0.2919451 -0.5935718 -0.051214013 0.4165561 -0.37359184 -0.46542275 0.98633945 0.24791262 -0.079896584 0.07024565 -0.36734316 0.3346672 -0.28238228 -0.02380257 -0.38288593 0.40497503 0.19278246 -0.2611509 0.0036556178 0.1968156 0.22592153 0.2020079 -0.03986958 -0.10363881 0.77542484 -0.21271978 0.5377281 0.13646616 0.28127995 -0.3231625 0.40542665 0.27424467 0.38256273 0.40740332 0.59269696 0.41225627 0.268658 0.5549404 -0.5831813 0.72847825 0.18372788
table 0.111152075 0.12132146 -0.10562183 0.028556123 0.1241281 0.18456413 -0.09153177 0.122273535 0.07427799 0.18951368 0.17146419 0.43685496 -0.31707677 -0.059721548 -0.13379775 -0.08050432 0.2338418 -0.17815657 -0.28653392 -0.15405676 0.11575733 0.16956413 -0.15057796 -0.11846029 0.19637126 -0.24844906 0.11300557 -0.34529963 0.28202245 0.1557734 0.33159825 -0.1304008 -0.18963335 0.2857335 0.5964793 -0.09701804 -0.40292582 0.14833586 -0.08044097 -0.37933394 -0.22014101 0.36450365 0.5943008 0.001543091 0.4609362 -0.1058677 0.3696374 0.15211335 0.34427115 -0.2503178
soup -0.27056304 -0.2988886 -0.2317598 -0.17661001 0.70211005 0.12520964 0.402167 -0.085208945 0.04860018 0.08416209 0.22301945 -0.13508338 0.2588937 -0.2850921 -0.5158902 -0.7242634 -0.13029076 0.1324184 0.30310825 -0.13129665 0.02313185 -0.073697306 0.14012936 0.089502595 0.77421767 -0.33700022 -0.24615514 0.49713218 -0.08435422 -0.22264677 0.014303077 -0.17539555 -0.10391323 -0.37069944 0.68228346 0.0847236 -0.43316978 -0.3053079 0.24170941 -0.37455294 0.048642278 0.60069203 0.23400253 0.63266116 0.6245285 0.64507073 0.33984774 -0.11964849 -0.07219686 0.7964278
perhaps 0.19044153 0.46386778 0.11543219 0.15483634 0.26440397 0.61089134 -0.32496607 -0.40952882 0.42679742 0.2551941 -0.34851876 -0.07505089 0.047548655 -0.33905336 -0.04880058 0.095323645 0.016511226 0.10028503 0.12074535 0.03788596 0.31840155 -0.46359694 0.23495317 -0.11168213 -0.28555346 -0.6684309 -0.40993196 -0.091301024 0.14082338 -0.41596016 -0.07089241 0.19079806 -0.3311699 0.39447674 0.51776034 -0.55725527 -0.39840892 0.1828282 0.7069474 -0.15939152 0.15278713 -0.021935616 0.6134877 -0.044301756 0.3645362 -0.5544427 0.2347045 -0.00999605 0.16539797 0.30155987
question 0.29236996 -0.05817873 0.15742287 0.22245194 0.1874359 0.59845626 0.05435467 -0.014441221 0.24365614 0.3791625 -0.33484936 -0.00068229926 -0.26920614 -0.14962263 -0.0022374536 -0.17814681 0.20107639 0.121367805 0.11262777 -0.07582833 -0.2578245 0.0678245 0.21607284 -0.23711038 0.089512125 -0.62447304 0.06979967 -0.20372352 -0.23753242 0.024822291 0.19578193 0.091862306 0.060233522 0.33948237 0.20244427 -0.10091799 -0.57464665 0.2802766 -0.029722478 -0.32235572 0.14204666 0.21951227 0.46676844 0.104348384 0.26288512 0.01717132 0.23798725 -0.11364495 0.19320847 0.7505303
side -0.19825846 0.55503947 -0.04183731 0.35212222 0.23554806 0.59152865 -0.051632486 0.01954323 0.42906797 -0.15663007 0.06471912 -0.258643 -0.49607295 -0.048807982 -0.4989428 -0.6152666 0.39441806 0.4612354 0.34646606 -0.35143945 0.108370565 0.14542006 -0.40254924 -0.070134826 0.39044812 0.053728297 0.32559463 -0.22611682 -0.1569106 -0.5999818 0.3176402 0.008384285 -0.35360867 -0.034764163 0.05265962 0.30404797 -0.0698128 -0.8767789 -0.45034933 0.062329944 -0.21591172 -0.27694133 -0.051141497 -0.31602633 0.49277708 0.35118422 0.23767346 -0.1752706 0.40444687 0.018881617
sat 0.025650423 0.2066855 -0.3707485 -0.3262456 0.40276077 0.335796 -0.9216565 0.22228111 0.13931964 -0.11785259 -0.26297247 0.17488946 -0.28168204 -0.70789444 0.19029598 -0.33169082 0.3274313 0.11225629 -0.030219924 -0.12578845 -0.032045275 -0.313353 -0.69816107 0.03953271 -0.1785803 -0.1470982 -0.5653434 -0.8165508 0.14411967 -0.31895122 -0.0017634563 -0.8737446 0.29259762 0.46609288 0.15395035 -0.37945795 -0.0023789213 -0.3310136 -0.282894 -0.2740816 -0.5959177 -0.0069380496 -0.16488129 0.043453034 -0.6535926 -0.043094985 -0.13890149 0.057486262 0.30380872 0.26129797
enough 0.2782886 0.42046672 0.25307828 0.19986512 0.30347374 -0.04667985 -0.11498516 0.17637235 0.474687 0.19727795 -0.32064286 0.5196077 -0.06601627 0.31611452 -0.237855 0.3468094 -0.010729457 -0.19468161 -0.03427485 0.1502691 0.3105317 -0.8335405 -0.28511006 -0.13894725 0.1809447 -0.27216572 0.21478625 -0.43860668 0.18384887 0.19418953 0.24222913 0.22280079 -0.24522202 -0.36168793 0.006566079 0.1556343 -0.2106519 0.2420096 0.0045087994 0.15514864 -0.015497078 0.24205172 0.6030405 0.18643393 0.09944551 -0.04882119 0.43203264 0.111920595 0.512229 -0.3786405
something 0.17989293 0.3050838 0.13691758 0.32693496 -0.12572247 0.4526541 0.2569043 -0.18458353 -0.0077565773 0.20651627 -0.45694286 -0.19026147 0.15583476 -0.05789166 -0.47340623 0.46261045 0.76387554 -0.13948283 0.2172701 0.33910677 0.60837525 -0.4237732 -0.10834959 -0.4087843 0.06830653 0.3342184 -0.20468615 -0.47382727 0.5497448 -0.24784361 0.181542 0.057446018 0.22567448 0.13085356 0.32051265 0.2883201 0.5492174 0.21647082 -0.43986082 0.26160213 -0.015477422 -0.035891883 -0.03653935 0.14713208 0.3079666 -0.21870825 0.5911659 0.25722292 0.5606402 0.18602459
asked -0.172623 0.43630856 -0.22475627 0.37017956 -0.1475906 0.17688815 0.06334319 -0.29628038 0.28498322 0.17938544 -0.11595585 0.13518919 -0.31374776 -0.17039388 -0.27471814 -0.6123446 0.3937677 -0.20898104 0.15910122 0.20703357 -0.052444976 0.18366338 -0.1528193 -0.12687801 0.16591749 -0.29854974 0.066918135 0.41659978 0.1703632 -0.41148075 -0.032590654 -0.49270636 -0.6227339 -0.23174515 -0.0053659193 0.2552874 0.0009029562 -0.5568736 0.05867434 -0.120899335 -0.3324081 0.29169872 -0.29804793 0.057108827 -0.016623246 -0.11111159 0.40959147 -0.576488 -0.2638481 -0.016201215
bill 0.29465726 0.08180598 0.24866524 -0.4046667 -0.09226147 -0.06418294 -0.38981095 0.33323708 0.01541702 0.440736 -0.3822738 0.3372045 -0.15073651 0.0017860731 -0.44517404 -0.042253103 0.093427494 -0.28508297 0.09358568 -0.14278701 0.15069012 -0.15999158 0.046782933 -0.04873789 0.25530282 -0.28592739 -0.18427725 -0.23487116 0.4663619 -0.16687492 0.19502078 0.34006715 -0.3246345 0.101681314 0.26123685 -0.11665793 -0.09655026 0.19286749 -0.7149044 -0.36985824 -0.34284362 0.05117144 0.094994135 -0.19105059 0.37374896 -0.08367382 0.3177365 0.1903937 0.04058627 -0.24153718
court 0.42008388 0.036489166 -0.14242776 0.2862726 0.37859002 0.09885574 -0.33343345 0.011162176 0.4227931 0.14514941 0.054283887 0.20260079 -0.014381725 0.13755552 -0.16278787 -0.5902238 0.3442765 0.12249881 0.28969547 -0.5333755 -0.20079552 0.004367106 -0.14127018 -0.26112437 0.37673387 -0.08211111 0.12021212 -0.5022711 0.15529974 0.044336535 0.19247234 -0.11067977 0.046496574 0.0316538 0.051202986 0.38451913 0.32474053 -0.12525745 -0.4388149 -0.30413538 -0.008336652 0.27224165 -0.03814215 0.27462077 0.28242233 0.055312302 0.18329382 -0.020664511 0.14932573 0.15497796
ran -0.11522809 0.031937405 0.25766116 0.10835892 0.095732674 -0.052915186 -0.7737858 0.28741017 0.49029014 0.09268655 -0.20430909 -0.2937515 -0.7439175 -0.21470383 -0.05732621 -0.7172468 -0.13847917 0.057794508 0.3679494 -0.36229074 -0.25793973 -0.18219298 -0.24350679 -0.16211498 -0.015464046 -0.0240158 -0.10196844 -0.9397327 -0.31200543 0.010385992 -0.46577054 -0.48052558 0.103090025 0.41951528 0.360506 0.30045637 0.2217413 -0.38412404 -0.35001147 -0.28043437 -0.36664873 -0.0005775202 0.024685223 -0.07186546 -0.16762896 0.17013662 0.37114558 0.19581333 0.3282224 0.47489908
under 0.08312039 -0.009949426 0.36285183 0.25394258 0.3327604 -0.024663169 -0.004842613 -0.07061168 0.7883166 -0.34600425 0.13479607 0.30117208 -0.09225027 -0.0039862934 -0.16951132 -0.45011467 0.35560513 -0.13792188 0.0027768374 0.15589647 0.1940061 0.279559 -0.34332043 0.092936836 0.1944314 -0.29331553 -0.23287125 -0.19889304 0.054208424 -0.28456807 -0.17299972 -0.37929535 -0.5052901 0.22437161 -0.25173095 0.30096832 0.09541274 0.018256847 -0.02362832 -0.18427512 -0.5729824 -0.13347495 0.017435763 0.3605476 0.2888579 0.41750288 0.17455228 0.30706352 0.16077834 -0.13145556
am 0.29793417 0.67339194 -0.027607005 -0.09726522 -0.32262674 -0.4545287 -0.3881631 0.16478084 -0.0560501 0.4103972 -0.3618809 0.19206837 0.08532204 -0.4375441 -0.44718078 0.88366795 -0.005870485 -0.24306686 -0.17258315 -0.21089375 -0.019108664 -0.5198898 -0.21670522 -0.89801985 -0.05775985 -0.11592147 0.3902742 0.5474788 0.18068007 -0.14036442 -0.02916922 0.4222228 -0.17175427 0.31442896 0.45071468 -0.029226394 -0.116992466 -0.18830751 -0.37049943 -0.43594417 0.18013011 0.10117286 0.32362455 0.18485068 0.04546712 -0.27858257 0.39036947 -0.35619313 0.40179658 -0.003590335
spoke 0.41451642 0.3940269 0.35626334 0.54063374 0.34449366 0.7578211 -0.5037718 -0.08336232 0.20995487 0.44089738 -0.2834925 0.19377469 -0.31636515 0.015004756 0.1294082 -0.0932194 0.34060684 -0.039211508 0.33714363 -0.60627437 0.18632947 -0.4698408 -0.2599179 -0.11586096 -0.19097972 -0.15520182 -0.58009744 -0.58988863 -0.103510454 0.03731121 -0.4448332 -0.23960383 -0.4727108 -0.12367574 0.6996414 0.12264716 -0.1786828 -0.26502305 0.2271177 0.14773059 -0.22314493 -0.034067377 0.28436378 0.0015546293 -0.07485842 -0.47603756 -0.20851444 0.38405448 0.20970376 -0.118620865
