words value_1 value_2 value_3 value_4 value_5 value_6 value_7 value_8 value_9 value_10 value_11 value_12 value_13 value_14 value_15 value_16 value_17 value_18 value_19 value_20 value_21 value_22 value_23 value_24 value_25 value_26 value_27 value_28 value_29 value_30 value_31 value_32 value_33 value_34 value_35 value_36 value_37 value_38 value_39 value_40 value_41 value_42 value_43 value_44 value_45 value_46 value_47 value_48 value_49 value_50
alice 0.34906358 0.042142082 -0.605892 -0.51681334 0.23475136 -0.032294318 -0.014406822 0.6385452 -0.12565304 0.43060315 0.16719027 0.018815257 -0.42475748 -0.4076907 -0.2310541 0.5383309 -0.26176062 -0.4877928 0.5876477 -0.60739917 0.14944425 -0.23338243 -0.084713124 -0.40796268 -0.04506567 -0.42167428 0.27164328 -0.68583316 -0.015561662 0.31118566 0.101567745 0.2872554 -0.04115434 0.2611705 0.08220205 -0.31185374 -0.3624781 0.13269699 0.57781243 -0.41908517 -0.58413726 -0.6832003 -0.4144914 0.44850367 0.29555726 -0.57351553 0.05219572 -0.64103657 -0.6124076 -0.057792556
in -0.48152673 0.35115126 -0.44878504 -0.41140643 0.6028001 0.46910465 0.45652315 0.23417734 0.28103915 -0.48056167 -0.19784398 -0.43167043 0.0872296 0.3692231 0.49560302 -0.93464077 0.77115625 -0.77971894 0.1788677 0.13058084 0.6050891 0.52911127 -0.8082497 -0.04339188 -0.6257253 0.033923417 0.019211447 0.34666514 -0.30581927 -0.8179948 0.61108255 -0.3816961 -0.6361186 0.15313207 0.29314968 0.622779 -0.655526 0.028997201 -0.29317784 -0.038115565 0.3125337 0.14184159 0.51829875 0.60791725 -0.46536183 -0.20997599 0.08724631 0.1856481 -0.18623693 -0.34978822
was -0.02687092 0.48587647 0.6587323 0.6923181 0.32667553 -0.624137 -0.50107825 0.7458957 -0.24622436 0.3529369 -0.40939656 0.20733197 -0.70364434 0.021130636 0.05939452 -0.33592513 -0.0060041305 -0.2586733 0.30267757 -0.24742918 -0.54308796 0.27363202 -0.6805994 0.073333986 -0.40294167 -0.39752904 -0.40789634 0.3843033 -0.0819151 0.14569415 -0.064661756 -0.18287066 -0.07475004 0.27087176 0.22160369 -0.5813474 -0.122470275 -0.310048 -0.344635 -0.48953888 -0.11291271 -0.24618243 -0.13191415 0.03426392 -0.6851878 -0.6180908 0.5769701 -0.2394333 0.22989425 0.29170382
that 0.67535114 -0.14621486 -0.18710709 -0.22152911 0.17876339 0.5395807 0.28053835 0.37574166 0.4506376 0.29209444 -0.4858596 0.1496501 0.4117115 -0.75364655 -0.24770345 0.1726812 0.29294974 -0.3210458 0.029805698 -0.041341 0.097178966 -0.3652095 -0.373314 0.2023603 -0.20742725 -0.41614026 -0.5038545 -0.0695255 0.84448904 0.33891422 -0.34025007 0.072941795 0.1503013 -0.5497255 0.13870077 -0.03478385 -0.48615232 0.20155093 -0.14682652 -0.056979563 -0.6137871 0.33283418 -0.23776856 0.38324067 0.3770593 0.58896124 0.35660136 0.39723462 0.119005576 0.16236646
as 0.11951223 -0.07254093 0.25938234 0.5806995 0.48903805 0.24074036 -0.6231857 0.082665525 0.13717598 -0.1176636 0.0004391872 -0.1776701 0.66236436 0.12664674 0.39410654 -0.45609537 0.89479506 -0.15578562 -0.03621387 -0.4696916 0.4499148 0.11215596 -0.12925579 -0.17658404 -0.21822059 -0.7553987 -0.5659495 -0.26268977 0.8249683 0.4637316 -0.4824325 0.34001052 -0.7050562 0.38203442 0.4525933 0.15310581 0.32401755 -0.5485874 0.24969718 0.611458 -0.5296215 -0.2062361 0.64825577 0.22825013 -0.0184614 -0.50886685 0.011921049 0.25653607 0.23094636 -0.11174981
her -0.6913937 -0.2307881 -0.13854577 -0.26623002 0.50947744 -0.6369734 -0.054793574 0.38000613 0.3298161 0.10620567 -0.07497765 0.35732138 -0.03472132 0.5847655 0.03059498 -0.48245686 -0.02262252 0.2781815 -0.048539747 -0.34224334 0.19520392 -0.780392 -0.49587482 -0.9132706 -0.59836525 0.09279979 0.15811084 -0.9861005 0.34670946 0.18531208 0.5341032 -0.65613014 -0.11999934 0.26997566 0.25616345 -0.1963804 0.29227912 -0.05290398 -0.4346413 0.36830962 -0.76674455 0.054750156 -0.43529275 0.10412454 0.2089259 -0.5719866 0.35087577 0.407769 0.14442022 0.0866726
t 0.6825138 0.8939707 -0.5275594 0.7268758 0.4875816 0.018975189 0.033125572 -0.26770893 0.7958802 0.47816318 0.1889551 -0.19484194 0.05690348 -0.4736839 -0.37348863 0.52917284 -0.054659765 0.4689284 -0.31012484 0.48380303 0.3738339 0.09290126 0.1863724 0.09072922 -0.5377819 -0.37857074 -0.9296116 0.52827144 0.7893012 -0.73072934 0.7280202 0.30165452 -0.5733447 -0.20175692 0.45813894 -0.32540944 0.26579592 -0.001800325 0.34109414 0.68605345 0.10396153 0.20564409 -0.010864394 -0.38812923 -0.15534201 -0.43009692 0.53549796 -0.9835936 0.46468174 -0.2660016
at 0.19943482 -0.18030515 -0.32908234 -0.51334476 0.12971887 0.4063026 -0.62259746 -0.25031385 0.77212936 -0.3188488 -0.27070808 0.08739373 -1.1316481 -0.46573174 -0.14366396 -0.5382043 0.6944552 0.29857662 0.458037 -0.08240883 0.28980008 -0.013006686 0.016209092 0.07243095 -0.5476706 0.049662 -0.41540483 0.016036116 -0.48394197 -0.20885581 0.63457394 -0.4060765 0.5169946 0.17921309 -0.10272605 -0.32430336 -0.23394279 -0.100392915 0.42420623 -0.20853564 -0.21001604 -0.32150128 1.1880018 -0.092606746 0.21256636 -0.09343912 0.9427506 0.033657838 -0.4865313 0.12711768
s 0.055117924 0.43157786 0.71442574 -0.28883624 0.16590105 -0.68484676 0.061584357 0.5415983 -0.23138294 0.74253416 -0.8342314 0.63749665 0.29673088 0.4083447 -0.29591754 -0.5861217 -0.31965902 -0.4050769 0.19805066 -0.6030189 -0.2630431 0.20301968 -0.45689398 0.19888052 -0.30139053 0.070071094 -0.09679094 -0.120465145 0.4566581 -0.539232 0.07133324 -0.17215092 -0.54512507 -0.56115997 0.14742921 -0.29877338 -0.52527535 -0.111311436 0.09304462 -0.24852803 0.10382256 0.20494351 0.009297543 0.5913637 0.06625683 -0.68233746 0.64152616 0.06543264 -0.29119745 0.28850377
on -0.23967373 -0.03807967 -0.5771885 0.20051853 0.43243417 0.6188777 -0.04246972 0.19366771 -0.047411565 -0.09163386 -0.09647896 0.7464793 0.35102755 -0.21521752 0.47865328 -0.30937394 0.013982465 0.22589695 -0.3113994 -0.9100063 0.43807954 0.7180121 -0.017492726 0.20131882 0.1830269 -0.22740327 -0.54969573 0.1576139 -0.08187174 -1.0258516 -0.27047202 -0.31552973 -0.31230557 -0.53660274 -0.2741544 0.29207247 -0.17424046 -0.15690663 -0.11865887 0.016150946 -0.908197 0.02002525 -0.07095949 -0.6104256 -0.14450009 -0.7369219 -0.020794142 0.34709227 0.4509788 0.6093215
